OBJ_ID,Dat_obs,Hr_obs,Nb_coyotes,Alimentation,Statut_animal,Periode,Comp_class,Com_code,Cote,Territoire,Statut_mention,Provenance,Verif,X,Y,Lat,Long,geometry
1321,"2019-01-26","14:30:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293589.7057,5046302.177,"45,5565413","-73,6435892",POINT (293589.7057 5046302.177)
1322,"2019-01-26","14:37:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293870.9331,5046030.947,"45,55410515","-73,639981",POINT (293870.9331 5046030.947)
1323,"2019-01-26","14:50:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293825.0331,5046258.831,"45,556155","-73,640574",POINT (293825.0331 5046258.831)
1324,"2019-01-26","14:50:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294031.4734,5046358.936,"45,557059","-73,637932",POINT (294031.4734 5046358.936)
1325,"2019-01-26","15:05:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294221.262,5046403.287,"45,557461","-73,635502",POINT (294221.262 5046403.287)
1326,"2019-01-26","15:06:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294225.2185,5046434.62,"45,557743","-73,635452",POINT (294225.2185 5046434.62)
1327,"2019-01-26","16:26:00",1,,,"crepuscule","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294186.1293,5046276.993,"45,55632403","-73,63594927",POINT (294186.1293 5046276.993)
1328,"2019-01-26","16:30:00",1,,,"crepuscule","1",2,0.8,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294138.7533,5046210.36,"45,55572372","-73,63655464",POINT (294138.7533 5046210.36)
1329,"2019-01-27","12:10:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293572.4168,5046966.119,"45,56251537","-73,64382589",POINT (293572.4168 5046966.119)
1330,"2019-01-26","14:00:00",1,,,"jour","1",2,1,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294130.3118,5046217.492,"45,55578777","-73,63666292",POINT (294130.3118 5046217.492)
1331,"2019-01-28","10:08:00",1,,,"jour","1",2,1,"Villeray—Saint-Michel—Parc-Extension","Valide","formulaire","oui",295158.0692,5047078.054,"45,56354637","-73,62351586",POINT (295158.0692 5047078.054)
